task-clock	context-switches	cpu-migrations	page-faults	cycles	instructions	branches	branch-misses	label
11.16	30.0	2.0	2.0	27093901.0	42674211.0	7615475.0	8520.0	1
12.15	22.0	3.0	0.0	28494566.0	48199048.0	8308819.0	11167.0	1
16.63	39.0	4.0	2.0	38129409.0	62973791.0	11006041.0	13504.0	1
7.98	14.0	1.0	0.0	17840223.0	28717706.0	5457167.0	16951.0	1
5.92	29.0	0.0	0.0	13571069.0	21618669.0	3870968.0	5500.0	1
9.96	26.0	2.0	1.0	23699253.0	33589074.0	6474917.0	6179.0	1
17.67	59.0	2.0	0.0	41222493.0	59666596.0	10963564.0	120086.0	1
20.79	25.0	0.0	1.0	49143977.0	77383987.0	13832242.0	48033.0	1
0.15	15.0	0.0	0.0	297331.0	129785.0	26782.0	950.0	1
0.25	26.0	0.0	0.0	464558.0	224643.0	47086.0	1459.0	1
17.58	62.0	2.0	2.0	40606449.0	63882485.0	11349772.0	22365.0	1
11.25	29.0	1.0	29.0	25394390.0	41005572.0	7736470.0	9212.0	1
17.51	59.0	3.0	3.0	40903875.0	64967633.0	11311483.0	21191.0	1
8.33	20.0	0.0	0.0	19729937.0	30588260.0	5766485.0	5433.0	1
25.61	56.0	2.0	5.0	59410638.0	92932645.0	16617665.0	22172.0	1
18.31	43.0	2.0	3.0	42232683.0	65825969.0	10169477.0	13356.0	1
16.42	41.0	1.0	3.0	38097428.0	58358492.0	10618407.0	16218.0	1
9.47	41.0	2.0	1.0	21985163.0	33331716.0	6455579.0	9845.0	1
24.25	35.0	3.0	3.0	56920071.0	88049934.0	15988160.0	35941.0	1
11.4	19.0	1.0	18.0	24849967.0	41062734.0	7235748.0	6025.0	1
5.32	32.0	1.0	1.0	12364931.0	17920327.0	653716.0	3935.0	1
21.89	25.0	1.0	2.0	50199140.0	79028203.0	14554356.0	23507.0	1
0.22	22.0	0.0	0.0	418043.0	208679.0	48563.0	1421.0	1
21.65	40.0	2.0	1.0	49915060.0	92887615.0	16513912.0	36083.0	1
9.02	19.0	0.0	0.0	20888334.0	32674613.0	5889519.0	10318.0	1
20.06	60.0	1.0	24.0	46571483.0	74133860.0	12761456.0	19704.0	1
3.42	18.0	0.0	11.0	7964153.0	12385428.0	2123404.0	4511.0	1
5.05	34.0	0.0	0.0	11408268.0	17785037.0	3057880.0	7119.0	1
27.03	67.0	3.0	18.0	62329900.0	98033903.0	17926303.0	15791.0	1
21.99	28.0	2.0	0.0	50858473.0	79512390.0	14259813.0	35599.0	1
7.61	24.0	2.0	1.0	16755177.0	25854839.0	4756874.0	16564.0	1
16.65	24.0	1.0	0.0	37310585.0	58621148.0	10330235.0	18344.0	1
12.31	23.0	0.0	0.0	28941457.0	44074024.0	8099054.0	24977.0	1
13.1	32.0	3.0	3.0	29222017.0	46683264.0	8038700.0	23068.0	1
8.07	23.0	0.0	0.0	19034519.0	30877816.0	5076730.0	81253.0	1
6.37	32.0	3.0	0.0	14530741.0	14686345.0	4069766.0	9911.0	1
23.8	63.0	0.0	1.0	54045144.0	84541051.0	15514172.0	26062.0	1
19.81	31.0	2.0	2.0	45973729.0	72255724.0	12596331.0	28117.0	1
8.74	19.0	0.0	0.0	20509473.0	32680742.0	5496327.0	1487.0	1
0.26	27.0	0.0	0.0	540530.0	248642.0	51216.0	1665.0	1
15.98	41.0	3.0	2.0	37320533.0	55619965.0	10702578.0	25418.0	1
16.03	39.0	0.0	1.0	35479694.0	54257721.0	9996898.0	12982.0	1
8.13	54.0	0.0	1.0	18743398.0	28495212.0	774531.0	10262.0	1
21.81	55.0	3.0	4.0	49806454.0	76476574.0	14145632.0	14392.0	1
6.83	55.0	1.0	24.0	13430800.0	23296897.0	3969958.0	15679.0	1
13.24	23.0	1.0	2.0	30355815.0	48880383.0	8359674.0	8411.0	1
0.25	27.0	0.0	0.0	453521.0	229484.0	48424.0	1454.0	1
16.28	33.0	1.0	15.0	36919273.0	56260620.0	10696627.0	15741.0	1
7.54	50.0	1.0	20.0	15986331.0	26074476.0	4612576.0	6571.0	1
10.35	59.0	1.0	23.0	23431372.0	35069001.0	5618525.0	16338.0	1
24.44	38.0	1.0	5.0	54123642.0	88513643.0	15221732.0	32903.0	1
19.05	41.0	0.0	1.0	42639104.0	66424435.0	12051895.0	18074.0	1
10.92	58.0	1.0	5.0	23110487.0	36464022.0	6584192.0	18561.0	1
0.25	25.0	0.0	0.0	464182.0	203753.0	42587.0	1512.0	1
18.12	35.0	5.0	28.0	41320741.0	64592340.0	11476004.0	29853.0	1
5.41	22.0	0.0	2.0	9005250.0	18650765.0	3433792.0	10172.0	1
22.56	32.0	3.0	2.0	50731476.0	78807613.0	14008160.0	28659.0	1
22.09	60.0	1.0	1.0	48796569.0	76592416.0	12181195.0	192661.0	1
21.26	56.0	1.0	2.0	47297495.0	63883050.0	12686980.0	11627.0	1
11.63	34.0	0.0	0.0	26252334.0	40334218.0	7630441.0	7892.0	1
13.93	62.0	7.0	4.0	30494209.0	48354569.0	7978824.0	85503.0	1
8.16	22.0	2.0	26.0	18444581.0	11996963.0	5061292.0	46625.0	1
11.84	40.0	2.0	7.0	26063960.0	38089855.0	6482367.0	133722.0	1
3.76	53.0	3.0	0.0	8353823.0	12099846.0	2292556.0	6749.0	1
7.97	42.0	0.0	0.0	17384037.0	27577512.0	4901486.0	9391.0	1
17.13	30.0	2.0	2.0	38277843.0	57601639.0	10529300.0	160148.0	1
20.11	38.0	1.0	3.0	43422260.0	70727004.0	12744332.0	17125.0	1
12.02	33.0	0.0	2.0	27129996.0	42709351.0	7717007.0	15341.0	1
7.15	38.0	1.0	1.0	15978372.0	25079266.0	4693512.0	8202.0	1
18.67	42.0	2.0	10.0	41368892.0	64089222.0	10917515.0	12591.0	1
6.05	38.0	4.0	1.0	9087086.0	19116577.0	3593704.0	8298.0	1
20.09	30.0	4.0	11.0	45041428.0	71630416.0	12717438.0	27152.0	1
10.97	21.0	1.0	0.0	24606112.0	38286206.0	7020325.0	6884.0	1
6.89	20.0	1.0	2.0	15321947.0	19501392.0	4063195.0	10137.0	1
5.03	27.0	0.0	1.0	9489535.0	17070427.0	3026366.0	5598.0	1
12.01	34.0	1.0	0.0	25525546.0	42104257.0	7491271.0	7803.0	1
9.72	22.0	0.0	1.0	19816906.0	34008026.0	6538890.0	10693.0	1
17.52	48.0	3.0	0.0	37274867.0	59016638.0	10269642.0	13546.0	1
25.89	53.0	1.0	2.0	56000914.0	88819248.0	16134332.0	17425.0	1
4.75	29.0	1.0	1.0	10399913.0	16483463.0	2703752.0	25327.0	1
26.82	55.0	2.0	3.0	59820769.0	92691611.0	16519430.0	15339.0	1
3.51	34.0	0.0	4.0	8028531.0	11645323.0	1965426.0	19298.0	1
27.05	66.0	1.0	11.0	58937552.0	93157160.0	16680136.0	17895.0	1
10.47	10.0	2.0	0.0	23199263.0	37883851.0	6497870.0	18687.0	1
13.4	23.0	4.0	28.0	29757810.0	44964870.0	8482143.0	11221.0	1
19.62	35.0	6.0	2.0	43484180.0	70062330.0	11954241.0	23978.0	1
5.16	36.0	1.0	1.0	11417801.0	18023313.0	2622305.0	15553.0	1
4.91	27.0	3.0	0.0	10418119.0	16865121.0	2836987.0	3984.0	1
17.5	30.0	1.0	2.0	38031757.0	58658687.0	10878400.0	12758.0	1
14.79	50.0	1.0	31.0	32217273.0	48158116.0	8356753.0	8419.0	1
10.59	30.0	0.0	1.0	23612710.0	36264740.0	6901155.0	8618.0	1
11.71	27.0	4.0	2.0	25402102.0	36515770.0	6630349.0	23176.0	1
7.23	16.0	2.0	0.0	16012231.0	26106689.0	4254565.0	19932.0	1
21.39	55.0	1.0	2.0	46685146.0	74315797.0	12839798.0	16208.0	1
16.1	42.0	1.0	1.0	35383694.0	54255834.0	9128695.0	51433.0	1
14.8	43.0	0.0	0.0	32278075.0	47470220.0	8768623.0	157357.0	1
0.27	27.0	0.0	0.0	542543.0	243427.0	45810.0	1868.0	1
26.46	28.0	1.0	2.0	57832692.0	78669250.0	15019662.0	93274.0	1
18.74	64.0	1.0	4.0	39498904.0	62511778.0	10788615.0	21258.0	1
0.31	29.0	0.0	0.0	518623.0	272442.0	56937.0	1571.0	1
16.73	32.0	4.0	25.0	37225018.0	56148822.0	10590943.0	14487.0	1
6.37	46.0	0.0	1.0	13806075.0	20881631.0	3894412.0	4338.0	1
21.68	44.0	3.0	5.0	46458517.0	72443365.0	13046649.0	9949.0	1
17.45	39.0	1.0	24.0	37124193.0	58857838.0	10287698.0	17762.0	1
9.78	16.0	0.0	0.0	21196208.0	22429000.0	4878063.0	112897.0	1
4.17	23.0	3.0	0.0	8878838.0	9219378.0	529628.0	74099.0	1
17.77	61.0	1.0	0.0	37275940.0	60015800.0	10628952.0	10983.0	1
19.38	36.0	1.0	11.0	40857682.0	65723393.0	11916968.0	15424.0	1
10.55	42.0	1.0	1.0	22574164.0	35167740.0	6510752.0	12952.0	1
5.0	60.0	0.0	1.0	10928730.0	16632365.0	3059609.0	8020.0	1
36.5	71.0	2.0	0.0	77733590.0	125957655.0	21880529.0	25269.0	1
0.23	22.0	0.0	0.0	414511.0	209966.0	43887.0	1206.0	1
19.07	33.0	2.0	4.0	40945382.0	61826026.0	11443013.0	30047.0	1
0.21	12.0	0.0	14.0	405752.0	164137.0	34015.0	936.0	1
17.14	45.0	3.0	3.0	36041636.0	47952122.0	8870311.0	110176.0	1
21.54	52.0	1.0	1.0	45698834.0	74345933.0	13346115.0	17600.0	1
7.98	22.0	0.0	0.0	16950294.0	26900609.0	4918727.0	11638.0	1
16.14	50.0	2.0	3.0	34543321.0	53170965.0	9325503.0	20855.0	1
16.73	53.0	2.0	3.0	35250449.0	59870149.0	10835585.0	15294.0	1
10.86	16.0	0.0	0.0	23169859.0	37982705.0	6496636.0	12550.0	1
25.28	65.0	1.0	2.0	53912070.0	98069814.0	16870264.0	16236.0	1
0.16	14.0	0.0	0.0	280414.0	121531.0	25838.0	978.0	1
18.23	32.0	3.0	3.0	37674429.0	63817744.0	11615650.0	17857.0	1
11.7	42.0	2.0	27.0	25002705.0	36819035.0	6735045.0	15065.0	1
15.89	53.0	0.0	0.0	33277044.0	52673596.0	9191846.0	17418.0	1
25.43	56.0	5.0	3.0	55168463.0	87279957.0	15498730.0	20458.0	1
22.65	65.0	3.0	2.0	48179125.0	74876789.0	13172971.0	50197.0	1
9.66	13.0	0.0	0.0	20563767.0	32595591.0	5420422.0	6956.0	1
26.18	57.0	1.0	1.0	56638511.0	85765784.0	15653923.0	56396.0	1
6.7	14.0	2.0	2.0	13866423.0	22591013.0	4212755.0	12176.0	1
18.22	73.0	5.0	1.0	38708869.0	58010910.0	10345138.0	181882.0	1
6.26	14.0	0.0	0.0	13885671.0	21905435.0	3812114.0	6848.0	1
8.39	35.0	2.0	4.0	18345718.0	22816511.0	4170314.0	109147.0	1
29.83	70.0	1.0	28.0	64017383.0	97907537.0	16175192.0	203840.0	1
0.14	13.0	0.0	1.0	256200.0	115687.0	24077.0	712.0	1
35.04	75.0	5.0	17.0	74185970.0	116897496.0	19394550.0	48404.0	1
13.19	15.0	3.0	0.0	28317728.0	45677835.0	7630296.0	12175.0	1
17.79	59.0	1.0	0.0	37488061.0	59322443.0	10666591.0	14472.0	1
8.64	25.0	2.0	1.0	18711454.0	15636423.0	4330196.0	41268.0	1
12.17	30.0	1.0	2.0	26329159.0	27844604.0	5416064.0	115340.0	1
14.49	53.0	1.0	1.0	30810170.0	49405341.0	8004773.0	96811.0	1
25.33	67.0	3.0	2.0	53422180.0	80762613.0	14389326.0	197240.0	1
0.2	18.0	0.0	0.0	357600.0	155486.0	32471.0	907.0	1
30.95	66.0	3.0	21.0	66004295.0	99462234.0	17830500.0	118572.0	1
12.76	30.0	1.0	0.0	26662012.0	42366755.0	7292789.0	6336.0	1
6.4	32.0	0.0	1.0	13523900.0	21515783.0	3707687.0	4127.0	1
6.22	38.0	2.0	0.0	13507052.0	20703175.0	3559387.0	5808.0	1
35.39	74.0	1.0	1.0	75202429.0	117586806.0	21486719.0	78886.0	1
13.56	16.0	3.0	4.0	28480084.0	44211225.0	7876898.0	6808.0	1
10.06	54.0	4.0	25.0	21126221.0	29779494.0	6018732.0	41035.0	1
18.72	23.0	3.0	3.0	40281674.0	63419867.0	10948805.0	12951.0	1
7.15	20.0	2.0	0.0	15423111.0	23449517.0	4397052.0	3666.0	1
